address,city,description,language,location/lat,location/lng,openingHours/0/day,openingHours/0/hours,openingHours/1/day,openingHours/1/hours,openingHours/2/day,openingHours/2/hours,openingHours/3/day,openingHours/3/hours,openingHours/4/day,openingHours/4/hours,openingHours/5/day,openingHours/5/hours,openingHours/6/day,openingHours/6/hours,phone,rank,price,state,street,totalScore,title,url,Competitor Website
"7316 Autumn Crossing Way, Brentwood, TN 37027",Brentwood,,en,36.0026579,-86.6895675,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Closed,,36,,Tennessee,7316 Autumn Crossing Way,4.6,"Weather Proof Roofing, LLC",https://www.google.com/maps/search/?api=1&query=Weather%20Proof%20Roofing%2C%20LLC&query_place_id=ChIJq6p2McL4Y4gRuxs1n2eWLpA,
"5543 Edmondson Pike Ste 91, Brentwood, TN 37027",Brentwood,,en,36.0419164,-86.746008,Monday,7 AM to 6 PM,Tuesday,7 AM to 6 PM,Wednesday,7 AM to 6 PM,Thursday,7 AM to 6 PM,Friday,7 AM to 6 PM,Saturday,9 AM to 5 PM,Sunday,Closed,(615) 747-2654,26,,Tennessee,5543 Edmondson Pike Ste 91,5.0,JR Installations,https://www.google.com/maps/search/?api=1&query=JR%20Installations&query_place_id=ChIJneN8rx9DZIgRqh0_XRz4PUI,
,Brentwood,,,,,,,,,,,,,,,,,,,,,,,,,TOP COMPETITOR: Mr. Roof,,https://www.mrroof.com/nashville/service-area/brentwood/
"1735 Springfield Hwy, Goodlettsville, TN 37072",Goodlettsville,,en,36.3782437,-86.7499855,Monday,8 AM to 5 PM,Tuesday,8 AM to 5 PM,Wednesday,8 AM to 5 PM,Thursday,8 AM to 5 PM,Friday,8 AM to 5 PM,Saturday,8 AM to 5 PM,Sunday,8 AM to 5 PM,(615) 578-6238,14,,Tennessee,1735 Springfield Hwy,5.0,Express roofing,https://www.google.com/maps/search/?api=1&query=Express%20roofing&query_place_id=ChIJ5dPELXBPZIgRKrb3OgnxasY,
,Goodlettsville,,,,,,,,,,,,,,,,,,,,,,,,,TOP COMPETITOR: MidSouth Construction,,https://midsouthconstructiontn.com/
"6003 Baltic Dr, Hermitage, TN 37076",Hermitage,,en,36.1914121,-86.62071,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Closed,(615) 679-1386,30,,Tennessee,6003 Baltic Dr,5.0,ACA Construction LLC,https://www.google.com/maps/search/?api=1&query=ACA%20Construction%20LLC&query_place_id=ChIJCfEtMRFrZIgRiRVvamKLG4k,
"810 Rachels View, Hermitage, TN 37076",Hermitage,,en,36.2032501,-86.6059207,,,,,,,,,,,,,,,(301) 768-6999,51,,Tennessee,810 Rachels View,5.0,ROOFING RENOVATIONS LLC,https://www.google.com/maps/search/?api=1&query=ROOFING%20RENOVATIONS%20LLC&query_place_id=ChIJn0pMcBhrZIgRVuu6zrn3m6c,
"4361 Oakcrest Ln, Hermitage, TN 37076",Hermitage,,en,36.1915216,-86.595865,,,,,,,,,,,,,,,(615) 566-1947,39,,Tennessee,4361 Oakcrest Ln,5.0,Stratus Construction LLC,https://www.google.com/maps/search/?api=1&query=Stratus%20Construction%20LLC&query_place_id=ChIJMRZDycBqZIgRyAEOVLPJFQk,
"1124 Seven Points Pass, Hermitage, TN 37076",Hermitage,,en,36.1513205,-86.5746375,Monday,9 AM to 7 PM,Tuesday,9 AM to 7 PM,Wednesday,9 AM to 7 PM,Thursday,9 AM to 7 PM,Friday,9 AM to 7 PM,Saturday,9 AM to 5 PM,Sunday,Closed,(615) 669-1548,5,,Tennessee,1124 Seven Points Pass,5.0,Nashville Roofing Company Pro,https://www.google.com/maps/search/?api=1&query=Nashville%20Roofing%20Company%20Pro&query_place_id=ChIJ-_dRANwVZIgR5zPaKllmmRs,
"4929 Shadowlawn Dr, Hermitage, TN 37076",Hermitage,,en,36.2067169,-86.5852489,Monday,8 AM to 5 PM,Tuesday,8 AM to 5 PM,Wednesday,8 AM to 5 PM,Thursday,8 AM to 5 PM,Friday,8 AM to 5 PM,Saturday,8 AM to 6 PM,Sunday,Closed,(615) 357-7145,34,,Tennessee,4929 Shadowlawn Dr,,Authentic Siding Solutions,https://www.google.com/maps/search/?api=1&query=Authentic%20Siding%20Solutions&query_place_id=ChIJPxDnK6xqZIgRbJHql2yEkDQ,
,Hermitage,,,,,,,,,,,,,,,,,,,,,,,,,TOP COMPETITOR: TopDown Roofing,,http://topdownroofing.com/
"3239 Union Hill Rd, Joelton, TN 37080",Joelton,,en,36.3220464,-86.8609136,Monday,7 AM to 9 PM,Tuesday,7 AM to 9 PM,Wednesday,7 AM to 9 PM,Thursday,7 AM to 9 PM,Friday,7 AM to 9 PM,Saturday,7 AM to 9 PM,Sunday,7 AM to 9 PM,(615) 297-1444,1,,Tennessee,3239 Union Hill Rd,5.0,C W Smith Roofing,https://www.google.com/maps/search/?api=1&query=C%20W%20Smith%20Roofing&query_place_id=ChIJT9GhoSdZZIgRKF3yo2Ov8rE,
"6540 Clarksville Pike, Joelton, TN 37080",Joelton,,en,36.3211648,-86.8999781,Monday,8 AM to 6 PM,Tuesday,8 AM to 6 PM,Wednesday,8 AM to 6 PM,Thursday,8 AM to 6 PM,Friday,8 AM to 6 PM,Saturday,Closed,Sunday,Closed,(615) 485-4472,8,,Tennessee,6540 Clarksville Pike,5.0,Home Improvement & Home Services LLC,https://www.google.com/maps/search/?api=1&query=Home%20Improvement%20%26%20Home%20Services%20LLC&query_place_id=ChIJPf8AuKxZZIgRWUS1AbGAoA8,
,Joelton,,,,,,,,,,,,,,,,,,,,,,,,,TOP COMPETITOR: Music City Roofers,,https://musiccityroofers.com/
"1249 Northgate Business Pkwy #12, Madison, TN 37115",Madison,,en,36.28329,-86.691556,Monday,7 AM to 6 PM,Tuesday,7 AM to 6 PM,Wednesday,7 AM to 6 PM,Thursday,7 AM to 6 PM,Friday,7 AM to 6 PM,Saturday,7 AM to 6 PM,Sunday,Closed,(615) 824-1500,9,,Tennessee,1249 Northgate Business Pkwy #12,4.2,At the Top Restoration Roofing,https://www.google.com/maps/search/?api=1&query=At%20the%20Top%20Restoration%20Roofing&query_place_id=ChIJAQAAAKRoZIgRYB3qnmfn0nU,
"640 Myatt Dr, Madison, TN 37115",Madison,,en,36.2916929,-86.6950722,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(615) 346-5590,43,,Tennessee,640 Myatt Dr,4.5,ACS Commercial Roofing,https://www.google.com/maps/search/?api=1&query=ACS%20Commercial%20Roofing&query_place_id=ChIJ8wMngCBrZIgRlfR4b-_7wgQ,
,Madison,,,,,,,,,,,,,,,,,,,,,,,,,TOP COMPETITOR: Nashville Roofing Company,,https://nashvilleroofingco.com/
"2301 Riverside Dr, Nashville, TN 37216",Nashville,,en,36.2050562,-86.72419,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(888) 668-1581,20,,Tennessee,2301 Riverside Dr,4.6,Josh Roofing Nashville,https://www.google.com/maps/search/?api=1&query=Josh%20Roofing%20Nashville&query_place_id=ChIJPZBAHklBZIgRelBjmbSjt-s,
"401 E Trinity Ln, Nashville, TN 37207",Nashville,,en,36.2057786,-86.7612079,,,,,,,,,,,,,,,(615) 436-2326,53,,Tennessee,401 E Trinity Ln,,BFAM Roofing,https://www.google.com/maps/search/?api=1&query=BFAM%20Roofing&query_place_id=ChIJy_zz0CVnZIgR_k-zg1k5VnY,
"512 Old Hickory Blvd, Nashville, TN 37209",Nashville,,en,36.1002017,-86.9230869,Monday,9 AM to 5 PM,Tuesday,9 AM to 5 PM,Wednesday,9 AM to 5 PM,Thursday,9 AM to 5 PM,Friday,9 AM to 5 PM,Saturday,9 AM to 5 PM,Sunday,Closed,(615) 593-4636,4,,Tennessee,512 Old Hickory Blvd,5.0,Tonys Roofing,https://www.google.com/maps/search/?api=1&query=Tonys%20Roofing&query_place_id=ChIJ00UxFraJZIgRSgPxz1JNsSQ,
"224 Donelson Pike, Nashville, TN 37214",Nashville,,en,36.1599237,-86.6648386,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(615) 609-1516,34,,Tennessee,224 Donelson Pike,3.0,Anas roofing and remodeling,https://www.google.com/maps/search/?api=1&query=Anas%20roofing%20and%20remodeling&query_place_id=ChIJuRIrTkRpZIgRlcHMTYIdfzY,
"5169 Eatons Creek Rd, Nashville, TN 37218",Nashville,,en,36.2571207,-86.8872809,,,,,,,,,,,,,,,(615) 859-4478,14,,Tennessee,5169 Eatons Creek Rd,5.0,Robert H Callis Roofing,https://www.google.com/maps/search/?api=1&query=Robert%20H%20Callis%20Roofing&query_place_id=ChIJj-TP8plfZIgR398puSSDLKg,
"4650 Artelia Dr, Nashville, TN 37206",Nashville,,en,36.0690414,-86.6739018,Monday,8 AM to 5 PM,Tuesday,8 AM to 5 PM,Wednesday,8 AM to 5 PM,Thursday,8 AM to 5 PM,Friday,8 AM to 5 PM,Saturday,Closed,Sunday,Closed,(615) 319-0222,56,,Tennessee,4650 Artelia Dr,,Belmontconstruction,https://www.google.com/maps/search/?api=1&query=Belmontconstruction&query_place_id=ChIJuRDuSmxuZIgRQA3K8m6IAcc,
"3212 West End Ave, Nashville, TN 37203",Nashville,,en,36.1415802,-86.8180092,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Closed,(615) 719-7895,19,,Tennessee,3212 West End Ave,5.0,Roofing in Nashville,https://www.google.com/maps/search/?api=1&query=Roofing%20in%20Nashville&query_place_id=ChIJ8bv7OaxmZIgRcST8F73MURA,
"Nashville, TN 37201",Nashville,,en,36.1724885,-86.7805961,,,,,,,,,,,,,,,(615) 208-4224,32,,Tennessee,,,Kellogg Roofing & Construction Llc,https://www.google.com/maps/search/?api=1&query=Kellogg%20Roofing%20%26%20Construction%20Llc&query_place_id=ChIJVVVVlVVmZIgRzmw9PaBP3g8,
"1601 Buchanan St, Nashville, TN 37208",Nashville,,en,36.1798303,-86.8095985,Monday,7 AM to 8 PM,Tuesday,7 AM to 8 PM,Wednesday,7 AM to 8 PM,Thursday,7 AM to 8 PM,Friday,7 AM to 8 PM,Saturday,7 AM to 9 PM,Sunday,7 AM to 8 PM,(877) 628-0269,16,,Tennessee,1601 Buchanan St,5.0,Reliable Nashville Roofing,https://www.google.com/maps/search/?api=1&query=Reliable%20Nashville%20Roofing&query_place_id=ChIJpzFjZiJnZIgRQMTAVImnYsE,
"1210 Greenfield Ave, Nashville, TN 37216",Nashville,,en,36.2099038,-86.7273464,,,,,,,,,,,,,,,(615) 838-8431,41,,Tennessee,1210 Greenfield Ave,,Yep Construction,https://www.google.com/maps/search/?api=1&query=Yep%20Construction&query_place_id=ChIJc-vvMBpoZIgR5xealr-URvc,
"3250 Dickerson Pike #210, Nashville, TN 37207",Nashville,,en,36.2348148,-86.7588119,,,,,,,,,,,,,,,(615) 962-9958,44,,Tennessee,3250 Dickerson Pike #210,,Start Truss,https://www.google.com/maps/search/?api=1&query=Start%20Truss&query_place_id=ChIJdVaSzUNdZIgRF9gtgTUeI9w,
"1104 Richmond Dr, Nashville, TN 37216",Nashville,,en,36.2296429,-86.7241608,,,,,,,,,,,,,,,(615) 420-6160,49,,Tennessee,1104 Richmond Dr,,Superior Renovation Group,https://www.google.com/maps/search/?api=1&query=Superior%20Renovation%20Group&query_place_id=ChIJn0bp17xCZIgRTzNF2DrSzSE,
"204 Point E Dr, Nashville, TN 37216",Nashville,,en,36.2327831,-86.7243874,Monday,8 AM to 4 PM,Tuesday,8 AM to 4 PM,Wednesday,8 AM to 4 PM,Thursday,8 AM to 4 PM,Friday,8 AM to 4 PM,Saturday,Closed,Sunday,Closed,(615) 750-2148,58,,Tennessee,204 Point E Dr,,Urban Properties,https://www.google.com/maps/search/?api=1&query=Urban%20Properties&query_place_id=ChIJGUt3TrxCZIgRY_OTuSHaoFw,
"211 12th Ave N, Nashville, TN 37203",Nashville,,en,36.1537319,-86.7858571,Monday,6 AM to 11 PM,Tuesday,6 AM to 11 PM,Wednesday,6 AM to 11 PM,Thursday,6 AM to 11 PM,Friday,6 AM to 11 PM,Saturday,8 AM to 8 PM,Sunday,8 AM to 8 PM,(423) 512-6201,11,,Tennessee,211 12th Ave N,5.0,Nashville Roofing Services,https://www.google.com/maps/search/?api=1&query=Nashville%20Roofing%20Services&query_place_id=ChIJUUnZwj8rXIgRv7Dkxnx7D_I,
"2010 Herman St A, Nashville, TN 37208",Nashville,,en,36.1630197,-86.807206,Monday,7 AM to 5 PM,Tuesday,7 AM to 5 PM,Wednesday,7 AM to 5 PM,Thursday,7 AM to 5 PM,Friday,7 AM to 5 PM,Saturday,7 AM to 5 PM,Sunday,Closed,(615) 753-8055,17,,Tennessee,2010 Herman St A,4.8,"S&J Roofing, LLC",https://www.google.com/maps/search/?api=1&query=S%26J%20Roofing%2C%20LLC&query_place_id=ChIJAx7xdsRmZIgR3qgoOhgcT0w,
"121 4th Ave S #40, Nashville, TN 37201",Nashville,,en,36.1600153,-86.7772398,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Closed,(615) 698-9719,18,,Tennessee,121 4th Ave S #40,5.0,Nashville Roofing Contractors & Repair Pros,https://www.google.com/maps/search/?api=1&query=Nashville%20Roofing%20Contractors%20%26%20Repair%20Pros&query_place_id=ChIJ9Zd6g2BnZIgRyJjGxn4qCQE,
"2131 Murfreesboro Pike #214, Nashville, TN 37217",Nashville,,en,36.0925432,-86.6526336,Monday,9 AM to 6 PM,Tuesday,9 AM to 6 PM,Wednesday,9 AM to 6 PM,Thursday,9 AM to 6 PM,Friday,9 AM to 6 PM,Saturday,9 AM to 6 PM,Sunday,Closed,(615) 298-3820,19,,Tennessee,2131 Murfreesboro Pike #214,5.0,Roofing Professionals,https://www.google.com/maps/search/?api=1&query=Roofing%20Professionals&query_place_id=ChIJW_SFbC5sZIgRm_7Vg1vKhqI,
"515 Radnor St, Nashville, TN 37211",Nashville,,en,36.105119,-86.746118,Monday,6 AM to 6:30 PM,Tuesday,6 AM to 6:30 PM,Wednesday,6 AM to 6:30 PM,Thursday,6 AM to 6:30 PM,Friday,6 AM to 6:30 PM,Saturday,6 AM to 6:30 PM,Sunday,Closed,(615) 498-2931,32,,Tennessee,515 Radnor St,5.0,THE BROTHERS ROOFING & CONSTRUCTION,https://www.google.com/maps/search/?api=1&query=THE%20BROTHERS%20ROOFING%20%26%20CONSTRUCTION&query_place_id=ChIJuRQnQ_BvZIgR2vh0AfaBq0Q,
"522 Radnor St, Nashville, TN 37211",Nashville,,en,36.1056371,-86.7468911,Monday,8 AM to 6 PM,Tuesday,8 AM to 6 PM,Wednesday,8 AM to 6 PM,Thursday,8 AM to 6 PM,Friday,8 AM to 6 PM,Saturday,Closed,Sunday,Closed,(615) 766-7199,41,,Tennessee,522 Radnor St,5.0,Gladiator Roofing and More Llc,https://www.google.com/maps/search/?api=1&query=Gladiator%20Roofing%20and%20More%20Llc&query_place_id=ChIJ1QNutgRlZIgRRh8EWwZQxX4,
"1321 Murfreesboro Pike #1321 #655, Nashville, TN 37217",Nashville,,en,36.1147092,-86.6958704,,,,,,,,,,,,,,,(615) 656-7446,42,,Tennessee,1321 Murfreesboro Pike #1321 #655,5.0,CB Roofing Consultants,https://www.google.com/maps/search/?api=1&query=CB%20Roofing%20Consultants&query_place_id=ChIJpZwF7dtuZIgRZQH2Wxga8Aw,
"620 Harding Pl, Nashville, TN 37211",Nashville,,en,36.0782761,-86.7430045,,,,,,,,,,,,,,,(615) 335-1213,44,,Tennessee,620 Harding Pl,5.0,Diaz Roofing,https://www.google.com/maps/search/?api=1&query=Diaz%20Roofing&query_place_id=ChIJK6VBNn1lZIgREuvNpqdMRyo,
"302 Radnor St, Nashville, TN 37211",Nashville,,en,36.1052335,-86.7401045,,,,,,,,,,,,,,,(615) 481-2153,45,,Tennessee,302 Radnor St,5.0,C W Jones Roofing,https://www.google.com/maps/search/?api=1&query=C%20W%20Jones%20Roofing&query_place_id=ChIJq_UTjGFvZIgRBa7IHjbII5s,
"Nashville, TN 37211",Nashville,,en,36.0775432,-86.7315785,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(615) 589-5518,46,,Tennessee,,,A-Plus Roofing & Siding,https://www.google.com/maps/search/?api=1&query=A-Plus%20Roofing%20%26%20Siding&query_place_id=ChIJq6qqqvpvZIgRqsDya_mS7qs,
"607 Woodett Dr, Nashville, TN 37211",Nashville,,en,36.0526513,-86.730887,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(615) 333-3765,49,,Tennessee,607 Woodett Dr,5.0,Assurance Restoration & Roofing,https://www.google.com/maps/search/?api=1&query=Assurance%20Restoration%20%26%20Roofing&query_place_id=ChIJo0Hw2eRvZIgRfXu1W7sSRkA,
"2007 Forges Dr, Nashville, TN 37217",Nashville,,en,36.0900549,-86.6642761,Monday,7 AM to 6:30 PM,Tuesday,7 AM to 6:30 PM,Wednesday,7 AM to 6:30 PM,Thursday,7 AM to 6:30 PM,Friday,7 AM to 6:30 PM,Saturday,7:30 AM to 5:30 PM,Sunday,Closed,(615) 618-1569,54,,Tennessee,2007 Forges Dr,5.0,Roofing Daniel's & Carpentry TN LLC,https://www.google.com/maps/search/?api=1&query=Roofing%20Daniel's%20%26%20Carpentry%20TN%20LLC&query_place_id=ChIJHbOd3eBvZIgRSNbFlpS5rTQ,
"2840 Logan St Suite 200, Nashville, TN 37211",Nashville,,en,36.1127584,-86.7413053,Monday,8 AM to 5 PM,Tuesday,8 AM to 5 PM,Wednesday,8 AM to 5 PM,Thursday,8 AM to 5 PM,Friday,8 AM to 5 PM,Saturday,Closed,Sunday,Closed,(615) 832-5099,59,,Tennessee,2840 Logan St Suite 200,,United Roofing Consultants Inc.,https://www.google.com/maps/search/?api=1&query=United%20Roofing%20Consultants%20Inc.&query_place_id=ChIJixx-B_VlZIgRBMWlm4zLp00,
"4487 Post Pl STE 100, Nashville, TN 37205",Nashville,,en,36.1303472,-86.8491161,,,,,,,,,,,,,,,(615) 479-8130,29,,Tennessee,4487 Post Pl STE 100,,DIMENSIONAL SPACES,https://www.google.com/maps/search/?api=1&query=DIMENSIONAL%20SPACES&query_place_id=ChIJ365_nNljZIgRDmS_yN7gME8,
"475 Metroplex Dr #110, Nashville, TN 37211",Nashville,,en,36.0883484,-86.699875,,,,,,,,,,,,,,,(615) 499-6008,67,,Tennessee,475 Metroplex Dr #110,5.0,CEI CONTRACTORS,https://www.google.com/maps/search/?api=1&query=CEI%20CONTRACTORS&query_place_id=ChIJ6U44kv9uZIgR7QQqydoCNj0,
"4941 Hopedale Dr, Nashville, TN 37211",Nashville,,en,36.0708333,-86.7168079,,,,,,,,,,,,,,,,94,,Tennessee,4941 Hopedale Dr,,Rayo Construction Roofing LLC,https://www.google.com/maps/search/?api=1&query=Rayo%20Construction%20Roofing%20LLC&query_place_id=ChIJA0bUs75vZIgRdDq3tf6ppqU,
"4501 Packard Dr, Nashville, TN 37211",Nashville,,en,36.0648122,-86.6897058,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,8 AM to 3 PM,Sunday,Closed,(615) 617-0755,99,,Tennessee,4501 Packard Dr,5.0,DAVID'S PAINTING & REMODELING,https://www.google.com/maps/search/?api=1&query=DAVID'S%20PAINTING%20%26%20REMODELING&query_place_id=ChIJrRtLxK9vZIgReol6ai2RF6k,
"1515 Elm Hill Pike #406, Nashville, TN 37210",Nashville,,en,36.1433699,-86.7181961,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(615) 739-6122,30,,Tennessee,1515 Elm Hill Pike #406,,Alford Roofing & Construction,https://www.google.com/maps/search/?api=1&query=Alford%20Roofing%20%26%20Construction&query_place_id=ChIJa2emPsZoZIgRqiFWY9BvMEw,
"1007 Murfreesboro Pike, Nashville, TN 37217",Nashville,,en,36.1280278,-86.7135092,,,,,,,,,,,,,,,(615) 366-5037,34,,Tennessee,1007 Murfreesboro Pike,5.0,Metro Roofing Co,https://www.google.com/maps/search/?api=1&query=Metro%20Roofing%20Co&query_place_id=ChIJGy8bWzJvZIgRZRzlu_z3uAQ,
"3149 Crosswood Dr, Nashville, TN 37214",Nashville,,en,36.1593918,-86.6470796,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(615) 953-2953,38,,Tennessee,3149 Crosswood Dr,,Dr Roof of Tennessee,https://www.google.com/maps/search/?api=1&query=Dr%20Roof%20of%20Tennessee&query_place_id=ChIJ50woy8VrZIgR82GYuFxb5wM,
"2601 Elm Hill Pike, Nashville, TN 37214",Nashville,,en,36.1512434,-86.6763128,,,,,,,,,,,,,,,(615) 678-0531,43,,Tennessee,2601 Elm Hill Pike,3.0,Curb Appeal Roofing,https://www.google.com/maps/search/?api=1&query=Curb%20Appeal%20Roofing&query_place_id=ChIJJ95BAkJpZIgRjMmpJomoBUs,
"Nashville, TN 37210",Nashville,,en,36.1482458,-86.7366082,,,,,,,,,,,,,,,(615) 942-0259,51,,Tennessee,,,Exotic Construction,https://www.google.com/maps/search/?api=1&query=Exotic%20Construction&query_place_id=ChIJAQAAAKRoZIgR8rNK9MdMf8M,
