"﻿""address""",city,description,language,location/lat,location/lng,openingHours/0/day,openingHours/0/hours,openingHours/1/day,openingHours/1/hours,openingHours/2/day,openingHours/2/hours,openingHours/3/day,openingHours/3/hours,openingHours/4/day,openingHours/4/hours,openingHours/5/day,openingHours/5/hours,openingHours/6/day,openingHours/6/hours,phone,rank,price,state,street,totalScore,title,url,Competitor Website
,,,en,29.836095,-95.46119,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Closed,(832) 483-7121,118,,,,,Antonio's roofing,https://www.google.com/maps/search/?api=1&query=Antonio's%20roofing&query_place_id=ChIJB_KvsRXxNKERL6W-3Pnu8_w,
,,,en,29.7777704,-95.4850744,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(832) 536-5618,31,,,,,Bell Roofing & Solar Providers Houston,https://www.google.com/maps/search/?api=1&query=Bell%20Roofing%20%26%20Solar%20Providers%20Houston&query_place_id=ChIJe27BveTHQIYR0eBShB7sOd8,
,,,en,29.61169,-95.2709815,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(832) 581-0555,107,,,,5,C & G Remodeling!,https://www.google.com/maps/search/?api=1&query=C%20%26%20G%20Remodeling!&query_place_id=ChIJA_fW4Vb-8IoRunEmNAMvAMw,
,,,en,29.7739925,-95.4539135,Monday,9 AM to 5 PM,Tuesday,9 AM to 5 PM,Wednesday,9 AM to 5 PM,Thursday,9 AM to 5 PM,Friday,9 AM to 5 PM,Saturday,9 AM to 5 PM,Sunday,9 AM to 5 PM,(346) 705-7503,94,,,,,C & L Contractors,https://www.google.com/maps/search/?api=1&query=C%20%26%20L%20Contractors&query_place_id=ChIJOdwST5RQ4WgRtQAFEOz6u2E,
,,,en,29.836095,-95.46119,,,,,,,,,,,,,,,(832) 526-9775,107,,,,,CV roofing and construction,https://www.google.com/maps/search/?api=1&query=CV%20roofing%20and%20construction&query_place_id=ChIJG6bkJ-TPQIYRzH5CFqY3cP4,
,,,en,29.80711,-95.46119,Monday,9 AM to 5 PM,Tuesday,9 AM to 5 PM,Wednesday,9 AM to 5 PM,Thursday,9 AM to 5 PM,Friday,9 AM to 5 PM,Saturday,Closed,Sunday,Closed,(832) 723-9715,79,,,,1,Campaign Renovation,https://www.google.com/maps/search/?api=1&query=Campaign%20Renovation&query_place_id=ChIJncMQAIXtQIYRaLixV6eevVs,
,,,en,29.836095,-95.46119,,,,,,,,,,,,,,,(281) 747-9952,24,,,,,Creative Roofing & Restoration,https://www.google.com/maps/search/?api=1&query=Creative%20Roofing%20%26%20Restoration&query_place_id=ChIJuVaLMjvDQIYRxwC5CTNNj_4,
,,,en,29.8339515,-95.4346126,Monday,8 AM to 5 PM,Tuesday,8 AM to 5 PM,Wednesday,8 AM to 5 PM,Thursday,8 AM to 5 PM,Friday,8 AM to 5 PM,Saturday,8 AM to 5 PM,Sunday,8 AM to 5 PM,(832) 646-2353,98,,,,,DDC Construction,https://www.google.com/maps/search/?api=1&query=DDC%20Construction&query_place_id=ChIJpU72-xPFQIYRzddOd4ALX3g,
,,,en,29.836095,-95.46119,Monday,7 AM to 8 PM,Tuesday,7 AM to 8 PM,Wednesday,7 AM to 8 PM,Thursday,7 AM to 8 PM,Friday,7 AM to 8 PM,Saturday,7 AM to 8 PM,Sunday,Closed,(281) 513-3434,91,,,,,De Linares Roofing,https://www.google.com/maps/search/?api=1&query=De%20Linares%20Roofing&query_place_id=ChIJ9yd4Qwg4liIR2xizgqtWn_8,
,,,en,29.6975606,-95.55035,Monday,7 AM to 6 PM,Tuesday,7 AM to 6 PM,Wednesday,7 AM to 6 PM,Thursday,7 AM to 6 PM,Friday,7 AM to 6 PM,Saturday,7 AM to 6 PM,Sunday,7 AM to 6 PM,(281) 825-1770,93,,,,4.3,Dragon Construction,https://www.google.com/maps/search/?api=1&query=Dragon%20Construction&query_place_id=ChIJVY8OJn6xQIYRDQ8faEdv-tg,
,,,en,29.80711,-95.46119,Monday,7 AM to 7 PM,Tuesday,7 AM to 7 PM,Wednesday,7 AM to 7 PM,Thursday,7 AM to 7 PM,Friday,7 AM to 7 PM,Saturday,7 AM to 7 PM,Sunday,Closed,(713) 873-1797,93,,,,5,E.A.E Renovations,https://www.google.com/maps/search/?api=1&query=E.A.E%20Renovations&query_place_id=ChIJzZTh3aTpQIYR2SEVbPG9cRI,
,,,en,29.8339515,-95.4346126,Monday,9 AM to 9 PM,Tuesday,9 AM to 9 PM,Wednesday,9 AM to 9 PM,Thursday,9 AM to 9 PM,Friday,9 AM to 9 PM,Saturday,Closed,Sunday,Closed,(346) 606-1944,99,,,,5,Eddie’s Roofing,https://www.google.com/maps/search/?api=1&query=Eddie%E2%80%99s%20Roofing&query_place_id=ChIJBezxcCylQIYRmoUGe6bRJ7k,
,,,en,29.836095,-95.46119,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Closed,(832) 907-1480,117,,,,,Edgar roofing,https://www.google.com/maps/search/?api=1&query=Edgar%20roofing&query_place_id=ChIJcUMM5FmjQIYRsjFOuOZwGgY,
,,,en,29.8339515,-95.4346126,,,,,,,,,,,,,,,(713) 385-6321,31,,,,4.8,Framing & Siding Construction,https://www.google.com/maps/search/?api=1&query=Framing%20%26%20Siding%20Construction&query_place_id=ChIJFdqzSxOxQIYRYywhsiV4KCk,
,,,en,29.6975606,-95.487679,Monday,7 AM to 8 PM,Tuesday,7 AM to 8 PM,Wednesday,7 AM to 8 PM,Thursday,7 AM to 8 PM,Friday,7 AM to 8 PM,Saturday,7 AM to 8 PM,Sunday,Closed,(713) 254-6842,96,,,,,Frontline Roofing,https://www.google.com/maps/search/?api=1&query=Frontline%20Roofing&query_place_id=ChIJ6V3qG2THQIYRfESmQbkgmfM,
,,,en,29.61169,-95.2668205,Monday,8 AM to 6 PM,Tuesday,8 AM to 6 PM,Wednesday,8 AM to 6 PM,Thursday,8 AM to 6 PM,Friday,8 AM to 6 PM,Saturday,9 AM to 5 PM,Sunday,Closed,(713) 287-0308,91,,,,4.9,GOOD FAITH CONSTRUCTION LLC HTX,https://www.google.com/maps/search/?api=1&query=GOOD%20FAITH%20CONSTRUCTION%20LLC%20HTX&query_place_id=ChIJVWkqSni9QIYROVOYPR0sGbY,
,,,en,29.836095,-95.46119,Monday,7 AM to 10 PM,Tuesday,7 AM to 10 PM,Wednesday,7 AM to 10 PM,Thursday,7 AM to 10 PM,Friday,7 AM to 10 PM,Saturday,7 AM to 4 PM,Sunday,Closed,(832) 876-4120,75,,,,1,GSG roofing interior & exterior,https://www.google.com/maps/search/?api=1&query=GSG%20roofing%20interior%20%26%20exterior&query_place_id=ChIJJUXzMhNWKYERgceJcMHHOGw,
,,,en,29.836095,-95.46119,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Closed,(832) 361-5897,93,,,,5,Golden Brick Construction Group LLC,https://www.google.com/maps/search/?api=1&query=Golden%20Brick%20Construction%20Group%20LLC&query_place_id=ChIJQREqP_fGbI0RHT6P0Rj0OZ0,
,,,en,29.836095,-95.46119,Monday,7 AM to 5 PM,Tuesday,9 AM to 5 PM,Wednesday,9 AM to 5 PM,Thursday,9 AM to 5 PM,Friday,9 AM to 5 PM,Saturday,7 AM to 5 PM,Sunday,Closed,(713) 252-7002,111,,,,5,HENRIQUEZ CONSTRUCTION LLC,https://www.google.com/maps/search/?api=1&query=HENRIQUEZ%20CONSTRUCTION%20LLC&query_place_id=ChIJG-llyvongq8RtvwtevUMK00,
,,,en,29.836095,-95.46119,Monday,8 AM to 8 PM,Tuesday,8 AM to 8 PM,Wednesday,8 AM to 8 PM,Thursday,8 AM to 8 PM,Friday,8 AM to 8 PM,Saturday,9 AM to 7 PM,Sunday,Closed,(346) 486-0955,54,,,,,Hart Roofing,https://www.google.com/maps/search/?api=1&query=Hart%20Roofing&query_place_id=ChIJ9VOnUPDmG44Rnki2r4M3PTk,
,,,en,29.836095,-95.46119,,,,,,,,,,,,,,,(832) 773-0979,27,,,,3,Hockley Roofing Services,https://www.google.com/maps/search/?api=1&query=Hockley%20Roofing%20Services&query_place_id=ChIJZw8T2hktQYYRBwGTXW4yj_E,
,,,en,29.8595346,-95.319088,Monday,9 AM to 6 PM,Tuesday,9 AM to 6 PM,Wednesday,9 AM to 6 PM,Thursday,9 AM to 6 PM,Friday,9 AM to 6 PM,Saturday,10 AM to 4:30 PM,Sunday,Closed,,93,,,,5,Houston NEXGEN ROOFING,https://www.google.com/maps/search/?api=1&query=Houston%20NEXGEN%20ROOFING&query_place_id=ChIJQcW9p9wKdCgRufOHrrbZtcE,
,,,en,29.8339515,-95.4346126,Monday,7 AM to 7 PM,Tuesday,7 AM to 7 PM,Wednesday,7 AM to 7 PM,Thursday,7 AM to 7 PM,Friday,7 AM to 7 PM,Saturday,10 AM to 4 PM,Sunday,Closed,(713) 933-5951,102,,,,1.5,Ibarra Roofing,https://www.google.com/maps/search/?api=1&query=Ibarra%20Roofing&query_place_id=ChIJD1b5awCkQIYRhThom47kofo,
,,,en,29.7437931,-95.2709815,Monday,7 AM to 7 PM,Tuesday,7 AM to 7 PM,Wednesday,7 AM to 7 PM,Thursday,7 AM to 7 PM,Friday,7 AM to 7 PM,Saturday,7 AM to 7 PM,Sunday,Closed,(713) 530-3977,77,,,,1,JM Roofing,https://www.google.com/maps/search/?api=1&query=JM%20Roofing&query_place_id=ChIJV6idjK8EsU4RwF8DXT8l0u8,
,,,en,29.836095,-95.46119,Monday,6 AM to 8 PM,Tuesday,6 AM to 8 PM,Wednesday,6 AM to 8 PM,Thursday,6 AM to 8 PM,Friday,6 AM to 8 PM,Saturday,6 AM to 8 PM,Sunday,Closed,(832) 951-7070,103,,,,,Jaguar Roofing,https://www.google.com/maps/search/?api=1&query=Jaguar%20Roofing&query_place_id=ChIJs1jlzSfrQIYRWyUj2eHMcLc,
,,,en,29.791965,-95.4580745,Monday,6 AM to 6 PM,Tuesday,6 AM to 6 PM,Wednesday,6 AM to 6 PM,Thursday,6 AM to 6 PM,Friday,6 AM to 6 PM,Saturday,6 AM to 6 PM,Sunday,7 AM to 5 PM,,80,,,,4.6,Jose's Remodeling,https://www.google.com/maps/search/?api=1&query=Jose's%20Remodeling&query_place_id=ChIJJww7EoqWayARHMCn7WDXbvU,
,,,en,29.836095,-95.46119,Monday,"12 to 6 AM, 8 AM to 12 AM",Tuesday,"12 to 6 AM, 8 AM to 12 AM",Wednesday,"12 to 6 AM, 8 AM to 12 AM",Thursday,"12 to 6 AM, 8 AM to 12 AM",Friday,"12 to 6 AM, 8 AM to 12 AM",Saturday,"12 to 6 AM, 8 AM to 12 AM",Sunday,"12 to 6 AM, 8 AM to 12 AM",(832) 213-9042,25,,,,5,King cobra Roofing,https://www.google.com/maps/search/?api=1&query=King%20cobra%20Roofing&query_place_id=ChIJX-wzpFrDQIYRfcxmdxk-fmk,
,,,en,29.836095,-95.46119,Monday,8 AM to 5 PM,Tuesday,8 AM to 5 PM,Wednesday,8 AM to 5 PM,Thursday,8 AM to 5 PM,Friday,8 AM to 5 PM,Saturday,8 AM to 5 PM,Sunday,Closed,(936) 249-7612,68,,,,4.8,LLA Roofing,https://www.google.com/maps/search/?api=1&query=LLA%20Roofing&query_place_id=ChIJ0VMHYo16D0kR4YbkZjhcWps,
,,,en,29.8266774,-95.465351,Monday,8 AM to 6 PM,Tuesday,8 AM to 6 PM,Wednesday,8 AM to 6 PM,Thursday,8 AM to 6 PM,Friday,8 AM to 6 PM,Saturday,9 AM to 4 PM,Sunday,Closed,(713) 859-1572,96,,,,,LNE Construction LLC,https://www.google.com/maps/search/?api=1&query=LNE%20Construction%20LLC&query_place_id=ChIJJxz3xpQgL4cR5KBZ6YhfnPQ,
,,,en,29.836095,-95.46119,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Closed,(832) 718-0145,71,,,,5,LUMARK Roofing and Construction LLC,https://www.google.com/maps/search/?api=1&query=LUMARK%20Roofing%20and%20Construction%20LLC&query_place_id=ChIJMS9UbOfJfGERDMaWXi-HgXE,
,,,en,29.836095,-95.46119,Monday,7 AM to 6:45 PM,Tuesday,7 AM to 6:45 PM,Wednesday,7 AM to 6:45 PM,Thursday,7 AM to 7 PM,Friday,"12 to 6 AM, 7 AM to 12 AM",Saturday,7 AM to 6:45 PM,Sunday,Closed,(281) 509-3345,97,,,,,Lucy's Roofers,https://www.google.com/maps/search/?api=1&query=Lucy's%20Roofers&query_place_id=ChIJJwb627HJQIYRjPSsNoKSLy8,
,,,en,29.709249,-95.535759,Monday,5 AM to 5 PM,Tuesday,5 AM to 5 PM,Wednesday,5 AM to 5 PM,Thursday,5 AM to 5 PM,Friday,5 AM to 5 PM,Saturday,5 AM to 5 PM,Sunday,Closed,(832) 552-5009,107,,,,,M.C. Roofing & Remodeling,https://www.google.com/maps/search/?api=1&query=M.C.%20Roofing%20%26%20Remodeling&query_place_id=ChIJ1YUJUDbXRicR4g6XHMjKqRI,
,,,en,29.8339515,-95.4346126,Monday,8 AM to 5 PM,Tuesday,8 AM to 5 PM,Wednesday,8 AM to 5 PM,Thursday,8 AM to 5 PM,Friday,8 AM to 5 PM,Saturday,9 AM to 12 PM,Sunday,Closed,(832) 771-8764,84,,,,1,MPJ Roofing and Remodeling LLC,https://www.google.com/maps/search/?api=1&query=MPJ%20Roofing%20and%20Remodeling%20LLC&query_place_id=ChIJ26r67_7HQIYRlWYXPwzyoWQ,
,,,en,29.836095,-95.46119,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(713) 259-0474,81,,,,5,Major League Roofing,https://www.google.com/maps/search/?api=1&query=Major%20League%20Roofing&query_place_id=ChIJ24nNOku5QIYRl1kb_IwN38M,
,,,en,29.836095,-95.46119,Monday,6:30 AM to 5 PM,Tuesday,6:30 AM to 5 PM,Wednesday,6:30 AM to 5 PM,Thursday,6:30 AM to 5 PM,Friday,6:30 AM to 5 PM,Saturday,Closed,Sunday,Closed,(713) 259-0474,104,,,,,Major League Roofing,https://www.google.com/maps/search/?api=1&query=Major%20League%20Roofing&query_place_id=ChIJ3c9OpcxxPSIRB3u2nkBZxoQ,
,,,en,29.8266774,-95.3835195,Monday,7 AM to 10 PM,Tuesday,7 AM to 10 PM,Wednesday,7 AM to 10 PM,Thursday,7 AM to 10 PM,Friday,7 AM to 10 PM,Saturday,7 AM to 10 PM,Sunday,7 AM to 10 PM,(281) 669-7214,88,,,,5,Masters League Roofing LLC,https://www.google.com/maps/search/?api=1&query=Masters%20League%20Roofing%20LLC&query_place_id=ChIJ4TJ904-Tm64RiTvyi_PEEyM,
,,,en,29.836095,-95.46119,Monday,8 AM to 5 PM,Tuesday,8 AM to 5 PM,Wednesday,8 AM to 5 PM,Thursday,8 AM to 5 PM,Friday,8 AM to 5 PM,Saturday,Closed,Sunday,Closed,(713) 424-5910,58,,,,,Multitech,https://www.google.com/maps/search/?api=1&query=Multitech&query_place_id=ChIJW4idOxOK9msR4ENYI1v6rHc,
,,,en,29.80711,-95.46119,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(346) 325-6511,65,,,,3.4,Myers & Myers General Contractors LLC,https://www.google.com/maps/search/?api=1&query=Myers%20%26%20Myers%20General%20Contractors%20LLC&query_place_id=ChIJhadlVPG5QIYR0FIntMbo4_E,
,,,en,29.8339515,-95.4346126,Monday,8 AM to 6 PM,Tuesday,8 AM to 6 PM,Wednesday,8 AM to 6 PM,Thursday,8 AM to 6 PM,Friday,8 AM to 6 PM,Saturday,Closed,Sunday,Closed,(281) 907-2808,64,,,,3.7,Onsite Construction Services,https://www.google.com/maps/search/?api=1&query=Onsite%20Construction%20Services&query_place_id=ChIJy3bsEBAxR4YRere7E3kwi-c,
,,,en,29.8053234,-95.474209,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(844) 727-3483,72,,,,3.3,Par 5 Roofing and Construction,https://www.google.com/maps/search/?api=1&query=Par%205%20Roofing%20and%20Construction&query_place_id=ChIJU5N5Mk2XQIYRQKztvTRjI5M,
,,,en,29.8266774,-95.46119,Monday,8 AM to 7 PM,Tuesday,8 AM to 7 PM,Wednesday,8 AM to 7 PM,Thursday,8 AM to 7 PM,Friday,8 AM to 7 PM,Saturday,8 AM to 7 PM,Sunday,Closed,(832) 460-3378,73,,,,5,Perfect Exterior Cleaning Services,https://www.google.com/maps/search/?api=1&query=Perfect%20Exterior%20Cleaning%20Services&query_place_id=ChIJlcjsvVGQQIYRR6RC6eDGXBU,
,,,en,29.836095,-95.46119,Monday,7 AM to 5 PM,Tuesday,7 AM to 5 PM,Wednesday,7 AM to 5 PM,Thursday,7 AM to 5 PM,Friday,7 AM to 5 PM,Saturday,7 AM to 5 PM,Sunday,Closed,(832) 259-4434,106,,,,,Precision Roofing Repairs,https://www.google.com/maps/search/?api=1&query=Precision%20Roofing%20Repairs&query_place_id=ChIJ1e-JyEvrQIYR4zrlfZwfRjE,
,,,en,29.836095,-95.46119,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Closed,(832) 483-0860,99,,,,1,Premium All Tech Services LLC,https://www.google.com/maps/search/?api=1&query=Premium%20All%20Tech%20Services%20LLC&query_place_id=ChIJH5jPp--5QIYRTe3MY3vODqw,
,,,en,29.8628995,-95.5056975,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(832) 706-8855,103,,,,,Pro Home Services & Construction,https://www.google.com/maps/search/?api=1&query=Pro%20Home%20Services%20%26%20Construction&query_place_id=ChIJ5Xe9NFEKqawRZM5QEnzXqfQ,
,,,en,29.836095,-95.3793585,Monday,7 AM to 5:30 PM,Tuesday,7 AM to 5:30 PM,Wednesday,7 AM to 5:30 PM,Thursday,7 AM to 5:30 PM,Friday,7 AM to 5:30 PM,Saturday,7 AM to 5:30 PM,Sunday,Closed,(832) 769-2382,55,,,,5,Pros Roofing & Remodeling,https://www.google.com/maps/search/?api=1&query=Pros%20Roofing%20%26%20Remodeling&query_place_id=ChIJwRTF2su7QIYRJlqPH4N1Cto,
,,,en,29.8266774,-95.3793585,Monday,8 AM to 5 PM,Tuesday,8 AM to 5 PM,Wednesday,8 AM to 5 PM,Thursday,8 AM to 5 PM,Friday,8 AM to 5 PM,Saturday,8 AM to 5 PM,Sunday,8 AM to 5 PM,(832) 803-9277,73,,,,,Pura Vida Development,https://www.google.com/maps/search/?api=1&query=Pura%20Vida%20Development&query_place_id=ChIJjzHs__SXQIYR6kSLWQxyK30,
,,,en,29.836095,-95.46119,Monday,7 AM to 5 PM,Tuesday,7 AM to 5 PM,Wednesday,7 AM to 5 PM,Thursday,7 AM to 5 PM,Friday,7 AM to 5 PM,Saturday,8 AM to 4:30 PM,Sunday,Closed,(281) 851-1149,100,,,,,Q's Quality Construction LLC,https://www.google.com/maps/search/?api=1&query=Q's%20Quality%20Construction%20LLC&query_place_id=ChIJGcpnWVcITmkRKDxgVrS7bNE,
,,,en,29.836095,-95.46119,Monday,6 AM to 7 PM,Tuesday,6 AM to 7 PM,Wednesday,6 AM to 7 PM,Thursday,6 AM to 7 PM,Friday,6 AM to 7 PM,Saturday,6 AM to 7 PM,Sunday,8 AM to 4 PM,(281) 571-5526,80,,,,,Ramirez Roofing & Construction,https://www.google.com/maps/search/?api=1&query=Ramirez%20Roofing%20%26%20Construction&query_place_id=ChIJ0_HfHexKUgYRaoAui60-PZs,
,,,en,29.836095,-95.46119,Monday,8 AM to 5 PM,Tuesday,8 AM to 5 PM,Wednesday,8 AM to 5 PM,Thursday,8 AM to 5 PM,Friday,8 AM to 5 PM,Saturday,8 AM to 5 PM,Sunday,Closed,(832) 353-2557,70,,,,5,Raptor Roofing Inc.,https://www.google.com/maps/search/?api=1&query=Raptor%20Roofing%20Inc.&query_place_id=ChIJA6zntRaZQIYRN18PkpJT88c,
,,,en,29.6514695,-95.2668205,Monday,7 AM to 8 PM,Tuesday,7 AM to 8 PM,Wednesday,7 AM to 8 PM,Thursday,7 AM to 8 PM,Friday,7 AM to 8 PM,Saturday,7 AM to 8 PM,Sunday,7 AM to 8 PM,(832) 366-6833,88,,,,,Repeat & Referral Remodeling,https://www.google.com/maps/search/?api=1&query=Repeat%20%26%20Referral%20Remodeling&query_place_id=ChIJzR77rsLdnQcRaeYZiPavVK0,
,,,en,29.836095,-95.46119,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(832) 468-7957,61,,,,,Ridgetop Roofers,https://www.google.com/maps/search/?api=1&query=Ridgetop%20Roofers&query_place_id=ChIJxR4Qsyy-dwgR6uEcGPBdbCA,
