address,city,description,language,location/lat,location/lng,openingHours/0/day,openingHours/0/hours,openingHours/1/day,openingHours/1/hours,openingHours/2/day,openingHours/2/hours,openingHours/3/day,openingHours/3/hours,openingHours/4/day,openingHours/4/hours,openingHours/5/day,openingHours/5/hours,openingHours/6/day,openingHours/6/hours,phone,rank,price,state,street,totalScore,title,url,Competitor Website
"3655 Marvin D. Love Fwy, Dallas, TX 75224",Dallas,"Roofing firm offering storm damage repairs, shingle replacement and skylight sealing.",en,32.6995355,-96.8396145,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(469) 940-4843,12,,Texas,3655 Marvin D. Love Fwy,4.7,Chavez Brothers Roof Repair,https://www.google.com/maps/search/?api=1&query=Chavez%20Brothers%20Roof%20Repair&query_place_id=ChIJDc6Emk-RToYRCh_JgOL_bhA,
"1825 Buckner Blvd, Dallas, TX 75217",Dallas,,en,32.7436706,-96.6831816,Monday,8 AM to 6 PM,Tuesday,8 AM to 6 PM,Wednesday,8 AM to 6 PM,Thursday,8 AM to 6 PM,Friday,8 AM to 6 PM,Saturday,8 AM to 4 PM,Sunday,Closed,(214) 242-7909,58,,Texas,1825 Buckner Blvd,4.3,Coliman Materials,https://www.google.com/maps/search/?api=1&query=Coliman%20Materials&query_place_id=ChIJ9Rc8g2qjToYRGVHW71loCfY,
"3237 Springview Ave, Dallas, TX 75216",Dallas,,en,32.7148241,-96.7710428,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(864) 899-6008,28,,Texas,3237 Springview Ave,,ConstralithBuildPro,https://www.google.com/maps/search/?api=1&query=ConstralithBuildPro&query_place_id=ChIJ-TZXEDGXToYR4SNNbkqHgG0,
"2907 Prince Hall Square, Dallas, TX 75216",Dallas,,en,32.6959294,-96.7725026,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(369) 224-4512,37,,Texas,2907 Prince Hall Square,,ConstralynBuildWorks,https://www.google.com/maps/search/?api=1&query=ConstralynBuildWorks&query_place_id=ChIJqytPeWiXToYRJxUTJfw8sYc,
"5626 Dyer St, Dallas, TX 75206",Dallas,,en,32.8429029,-96.7715411,,,,,,,,,,,,,,,(234) 453-6259,33,,Texas,5626 Dyer St,,CornerForge Construction,https://www.google.com/maps/search/?api=1&query=CornerForge%20Construction&query_place_id=ChIJPUKlr5mfToYRu8BF6DGjtSk,
"611 N Bishop Ave #101 #101, Dallas, TX 75208",Dallas,,en,32.7499166,-96.8283185,Monday,9 AM to 5 PM,Tuesday,9 AM to 5 PM,Wednesday,9 AM to 5 PM,Thursday,9 AM to 5 PM,Friday,9 AM to 5 PM,Saturday,9 AM to 5 PM,Sunday,9 AM to 5 PM,(586) 352-9322,6,,Texas,611 N Bishop Ave #101 #101,5.0,Cornerstone Roofing Dallas,https://www.google.com/maps/search/?api=1&query=Cornerstone%20Roofing%20Dallas&query_place_id=ChIJgVWQDgCZToYR9SRhzpFI0Kw,
"325 North St. Paul Street Suite 3100, Dallas, TX 75201",Dallas,,en,32.783334,-96.7973576,Monday,8 AM to 6 PM,Tuesday,8 AM to 6 PM,Wednesday,8 AM to 6 PM,Thursday,8 AM to 6 PM,Friday,8 AM to 6 PM,Saturday,10 AM to 4 PM,Sunday,Closed,(214) 278-4300,74,,Texas,325 North St. Paul Street Suite 3100,5.0,DDD Construction,https://www.google.com/maps/search/?api=1&query=DDD%20Construction&query_place_id=ChIJ09MEqPQUs4AR91wSBb8mU7Q,
"5665 Buckner Blvd, Dallas, TX 75228",Dallas,,en,32.7948972,-96.6851564,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(214) 983-8997,26,,Texas,5665 Buckner Blvd,5.0,Dallas Roof Repair Now,https://www.google.com/maps/search/?api=1&query=Dallas%20Roof%20Repair%20Now&query_place_id=ChIJY5OuFIOjToYRCLTA5c5IiDE,
"920 S Pearl St, Dallas, TX 75201",Dallas,,en,32.7776795,-96.7897323,Monday,6 AM to 10 PM,Tuesday,6 AM to 10 PM,Wednesday,6 AM to 10 PM,Thursday,6 AM to 10 PM,Friday,6 AM to 10 PM,Saturday,8 AM to 8 PM,Sunday,8 AM to 8 PM,(469) 310-0720,64,,Texas,920 S Pearl St,5.0,Dallas Water Damage Solutions,https://www.google.com/maps/search/?api=1&query=Dallas%20Water%20Damage%20Solutions&query_place_id=ChIJMz5n9JSZToYRrQ5-c0gIyEg,
"4008 Bulova St, Dallas, TX 75216",Dallas,,en,32.7220633,-96.7619828,,,,,,,,,,,,,,,(214) 371-9297,46,,Texas,4008 Bulova St,,Don Aranjon Roofing,https://www.google.com/maps/search/?api=1&query=Don%20Aranjon%20Roofing&query_place_id=ChIJ6UOUnByYToYRBODeuRTd-b4,
"841 Jefferson Blvd, Dallas, TX 75208",Dallas,,en,32.7433801,-96.8374707,,,,,,,,,,,,,,,(281) 673-5625,18,,Texas,841 Jefferson Blvd,5.0,Elevation Roofing Services,https://www.google.com/maps/search/?api=1&query=Elevation%20Roofing%20Services&query_place_id=ChIJXVuVVACbToYR4MJx1uAK-yg,
"1401 Elm St, Dallas, TX 75202",Dallas,,en,32.7812588,-96.8008945,Monday,9 AM to 5 PM,Tuesday,9 AM to 5 PM,Wednesday,9 AM to 5 PM,Thursday,9 AM to 5 PM,Friday,9 AM to 5 PM,Saturday,9 AM to 5 PM,Sunday,9 AM to 5 PM,,76,,Texas,1401 Elm St,3.4,Elite Listings,https://www.google.com/maps/search/?api=1&query=Elite%20Listings&query_place_id=ChIJ5bgjt3qZToYRew5upEFebCU,
"1819 Abrams Pkwy, Dallas, TX 75214",Dallas,,en,32.8117637,-96.7530859,,,,,,,,,,,,,,,(214) 382-3288,15,,Texas,1819 Abrams Pkwy,5.0,Emmanuel's Roofing & Gutters,https://www.google.com/maps/search/?api=1&query=Emmanuel's%20Roofing%20%26%20Gutters&query_place_id=ChIJ0StDYwCfToYRCh5sfi9wdt4,
"3216 S Llewellyn Ave, Dallas, TX 75224",Dallas,,en,32.706269,-96.8322863,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(213) 570-4444,11,,Texas,3216 S Llewellyn Ave,,Evercrest Roofing Services Ltd,https://www.google.com/maps/search/?api=1&query=Evercrest%20Roofing%20Services%20Ltd&query_place_id=ChIJH-NtZy6XToYR2hlVn98Ll-M,
"515 S Clinton Ave, Dallas, TX 75208",Dallas,,en,32.7408239,-96.8432276,,,,,,,,,,,,,,,(214) 948-9975,18,,Texas,515 S Clinton Ave,1.0,Fast Roofing.,https://www.google.com/maps/search/?api=1&query=Fast%20Roofing.&query_place_id=ChIJ7W-6hySaToYR-qb2bh9Lpoc,
"5473 Blair Rd #100, Dallas, TX 75231",Dallas,,en,32.885257,-96.7664999,Monday,7:30 AM to 7:30 PM,Tuesday,7:30 AM to 7:30 PM,Wednesday,7:30 AM to 7:30 PM,Thursday,7:30 AM to 7:30 PM,Friday,7:30 AM to 7:30 PM,Saturday,7:30 AM to 7:30 PM,Sunday,Closed,(214) 899-2016,19,,Texas,5473 Blair Rd #100,,First Integrity Roofing,https://www.google.com/maps/search/?api=1&query=First%20Integrity%20Roofing&query_place_id=ChIJC4LwEACfToYR77MP0s1eCek,
"2914 Cummings St, Dallas, TX 75216",Dallas,,en,32.6978403,-96.7733238,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(272) 450-7798,40,,Texas,2914 Cummings St,,FormatrixBuildCo,https://www.google.com/maps/search/?api=1&query=FormatrixBuildCo&query_place_id=ChIJsaIlFviXToYR3M-MBnUFVdw,
"2837 E Ledbetter Dr, Dallas, TX 75216",Dallas,,en,32.6943247,-96.7733446,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(732) 848-9491,41,,Texas,2837 E Ledbetter Dr,,FramevoraBuildElite,https://www.google.com/maps/search/?api=1&query=FramevoraBuildElite&query_place_id=ChIJw1viuN2XToYRKaAaACPv6Ik,
"3108 E Illinois Ave, Dallas, TX 75216",Dallas,,en,32.7164464,-96.7731774,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(730) 278-6206,27,,Texas,3108 E Illinois Ave,,FramezoraBuildWorks,https://www.google.com/maps/search/?api=1&query=FramezoraBuildWorks&query_place_id=ChIJe5lvj7iZToYRNyRZpluU4Yg,
"3637 Falls Dr, Dallas, TX 75211",Dallas,,en,32.7266687,-96.8805898,Monday,9 AM to 5 PM,Tuesday,9 AM to 5 PM,Wednesday,9 AM to 5 PM,Thursday,9 AM to 5 PM,Friday,9 AM to 5 PM,Saturday,9 AM to 5 PM,Sunday,9 AM to 5 PM,(972) 795-0638,53,,Texas,3637 Falls Dr,,Fuentes Hernández services,https://www.google.com/maps/search/?api=1&query=Fuentes%20Hern%C3%A1ndez%20services&query_place_id=ChIJs9ufO1ibToYRHgxZaaFmN7c,
"6060 N Central Expy Suite 500, Dallas, TX 75206",Dallas,"Trusted roofer specializing in roof inspections, construction, maintenance and repairs, plus gutters.",en,32.8400044,-96.774788,Monday,8 AM to 6 PM,Tuesday,8 AM to 6 PM,Wednesday,8 AM to 6 PM,Thursday,8 AM to 6 PM,Friday,8 AM to 6 PM,Saturday,8 AM to 6 PM,Sunday,8 AM to 6 PM,,19,,Texas,6060 N Central Expy Suite 500,4.9,Gallery Built Roofing,https://www.google.com/maps/search/?api=1&query=Gallery%20Built%20Roofing&query_place_id=ChIJVVUljQ2fToYRhXvaTK_XwQM,
"8356 Moberly Ln, Dallas, TX 75227",Dallas,,en,32.7794242,-96.6750926,Monday,8 AM to 5:30 PM,Tuesday,8 AM to 5:30 PM,Wednesday,8 AM to 5:30 PM,Thursday,8 AM to 5:30 PM,Friday,8 AM to 5:30 PM,Saturday,8 AM to 1 PM,Sunday,Closed,(214) 499-0270,20,,Texas,8356 Moberly Ln,,Gallos roofing llc,https://www.google.com/maps/search/?api=1&query=Gallos%20roofing%20llc&query_place_id=ChIJp5yttuyjToYR34HMm1WswT8,
"2031 John West Rd #115, Dallas, TX 75228",Dallas,,en,32.8075866,-96.6808953,Monday,9 AM to 5 PM,Tuesday,9 AM to 5 PM,Wednesday,9 AM to 5 PM,Thursday,9 AM to 5 PM,Friday,9 AM to 5 PM,Saturday,9 AM to 5 PM,Sunday,9 AM to 5 PM,(214) 275-6666,24,,Texas,2031 John West Rd #115,4.2,Garza Roofing & Remodeling,https://www.google.com/maps/search/?api=1&query=Garza%20Roofing%20%26%20Remodeling&query_place_id=ChIJtQeTSYmjToYRi7ZirLEs5DU,
"526 Jonelle Ave, Dallas, TX 75217",Dallas,,en,32.7207462,-96.7088151,Monday,7 AM to 7 PM,Tuesday,7 AM to 7 PM,Wednesday,7 AM to 7 PM,Thursday,7 AM to 7 PM,Friday,7 AM to 7 PM,Saturday,7 AM to 7 PM,Sunday,7 AM to 7 PM,(214) 251-9628,14,,Texas,526 Jonelle Ave,4.8,Garza and Son's Roofing,https://www.google.com/maps/search/?api=1&query=Garza%20and%20Son's%20Roofing&query_place_id=ChIJD-g4UI6kToYRI7E4gGP2iBE,
"6820 Lyndon B Johnson Fwy, Dallas, TX 75240",Dallas,,en,32.9239261,-96.7876206,Monday,9 AM to 5 PM,Tuesday,9 AM to 5 PM,Wednesday,9 AM to 5 PM,Thursday,9 AM to 5 PM,Friday,9 AM to 5 PM,Saturday,9 AM to 3:30 PM,Sunday,Closed,(214) 738-3500,26,,Texas,6820 Lyndon B Johnson Fwy,,"Handyman, roofing cons",https://www.google.com/maps/search/?api=1&query=Handyman%2C%20roofing%20cons&query_place_id=ChIJ8c_eS_4hTIYReY3TyPA3BPY,
"212 Jefferson Blvd, Dallas, TX 75208",Dallas,,en,32.7428968,-96.8250706,Monday,9 AM to 5 PM,Tuesday,9 AM to 5 PM,Wednesday,9 AM to 5 PM,Thursday,9 AM to 5 PM,Friday,9 AM to 5 PM,Saturday,9 AM to 5 PM,Sunday,9 AM to 5 PM,(586) 352-9322,12,,Texas,212 Jefferson Blvd,5.0,Heritage Roofing Dallas,https://www.google.com/maps/search/?api=1&query=Heritage%20Roofing%20Dallas&query_place_id=ChIJwXn5awCZToYRIeShf0HJt4E,
"1910 S Akard St, Dallas, TX 75215",Dallas,,en,32.7673043,-96.7892111,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(214) 792-9848,15,,Texas,1910 S Akard St,5.0,INVigorate Roofing,https://www.google.com/maps/search/?api=1&query=INVigorate%20Roofing&query_place_id=ChIJezlfu2WZToYR-cA1Giv0rrw,
"603 Munger Ave suite 100-209, Dallas, TX 75202",Dallas,,en,32.7833337,-96.8077226,Monday,9 AM to 5 PM,Tuesday,9 AM to 5 PM,Wednesday,9 AM to 5 PM,Thursday,9 AM to 5 PM,Friday,9 AM to 5 PM,Saturday,Closed,Sunday,Closed,,49,,Texas,603 Munger Ave suite 100-209,5.0,Integrity Restoration LLC,https://www.google.com/maps/search/?api=1&query=Integrity%20Restoration%20LLC&query_place_id=ChIJgxmje6MZWEgRwmrvAWWRWIY,
"1411 Sullivan Dr, Dallas, TX 75215",Dallas,,en,32.7706449,-96.7911584,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,,53,,Texas,1411 Sullivan Dr,,Ivan and sons,https://www.google.com/maps/search/?api=1&query=Ivan%20and%20sons&query_place_id=ChIJOZ0lHP2ZToYRggH3P1t9o8s,
"Dallas, TX 75217",Dallas,,en,32.733964,-96.6999693,,,,,,,,,,,,,,,,49,,Texas,,,J & H Roofing,https://www.google.com/maps/search/?api=1&query=J%20%26%20H%20Roofing&query_place_id=ChIJD6xnNSSjToYRPXbVKsD58Vs,
"2234forfham Rd, Dallas, TX 75216",Dallas,,en,32.7034055,-96.788417,,,,,,,,,,,,,,,(214) 675-6697,10,,Texas,2234forfham Rd,5.0,J Gonzales Roofing end construction LLc,https://www.google.com/maps/search/?api=1&query=J%20Gonzales%20Roofing%20end%20construction%20LLc&query_place_id=ChIJZUNGBy-XToYRJhtxDY7BZg8,
"9100 E R L Thornton Fwy, Dallas, TX 75228",Dallas,,en,32.794254,-96.68958,Monday,10 AM to 4:30 PM,Tuesday,10 AM to 4:30 PM,Wednesday,10 AM to 4:30 PM,Thursday,10 AM to 4:30 PM,Friday,10 AM to 4:30 PM,Saturday,Closed,Sunday,Closed,(972) 637-8323,17,,Texas,9100 E R L Thornton Fwy,,John Damoda Roofing,https://www.google.com/maps/search/?api=1&query=John%20Damoda%20Roofing&query_place_id=ChIJZzIUpmujToYRa2J24gR-1D8,
"1309 N Main St, Dallas, TX 75202",Dallas,,en,32.780599,-96.8005368,,,,,,,,,,,,,,,,50,,Texas,1309 N Main St,,"Jt Roofing Solutions, Llc",https://www.google.com/maps/search/?api=1&query=Jt%20Roofing%20Solutions%2C%20Llc&query_place_id=ChIJx6LDYBiZToYR04JLpNCqN44,
"1777 N Record St #1 Ste 2405, Dallas, TX 75202",Dallas,,en,32.7816065,-96.8080186,,,,,,,,,,,,,,,(469) 571-2003,44,,Texas,1777 N Record St #1 Ste 2405,4.8,LSCG,https://www.google.com/maps/search/?api=1&query=LSCG&query_place_id=ChIJvZhi_j2ZToYRIObFIHKOTEU,
"8523 Eldon Dr, Dallas, TX 75217",Dallas,,en,32.739392,-96.6748452,Monday,7 AM to 5 PM,Tuesday,7 AM to 5 PM,Wednesday,7 AM to 5 PM,Thursday,7 AM to 5 PM,Friday,7 AM to 5 PM,Saturday,7 AM to 5 PM,Sunday,Closed,(214) 766-2941,15,,Texas,8523 Eldon Dr,,Llera roofing,https://www.google.com/maps/search/?api=1&query=Llera%20roofing&query_place_id=ChIJvfNWu62jToYRyjemWDzj8cI,
